DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;ST_VOTO_EM_TRANSITO;QT_VOTOS_NOMINAIS;QT_VOTOS_LEGENDA
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71072;SÃO PAULO;71072;SÃO PAULO;247;13;Vereador;Partido isolado;19;PODE;Podemos;2,5E+11;PARTIDO ISOLADO;PODE;N;6525;94
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;65471;ITAPETININGA;65471;ITAPETININGA;52;13;Vereador;Partido isolado;22;PL;Partido Liberal;2,5E+11;PARTIDO ISOLADO;PL;N;1729;54
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;61468;UBARANA;61468;UBARANA;64;13;Vereador;Partido isolado;25;DEM;Democratas;2,5E+11;PARTIDO ISOLADO;DEM;N;1197;67
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;62910;CAMPINAS;62910;CAMPINAS;274;13;Vereador;Partido isolado;25;DEM;Democratas;2,5E+11;PARTIDO ISOLADO;DEM;N;1700;39
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;66915;MENDONÇA;66915;MENDONÇA;64;13;Vereador;Partido isolado;25;DEM;Democratas;2,5E+11;PARTIDO ISOLADO;DEM;N;957;10
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;62910;CAMPINAS;62910;CAMPINAS;423;13;Vereador;Partido isolado;28;PRTB;Partido Renovador Trabalhista Brasileiro;2,5E+11;PARTIDO ISOLADO;PRTB;N;298;65
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;63479;CONCHAS;63479;CONCHAS;41;13;Vereador;Partido isolado;28;PRTB;Partido Renovador Trabalhista Brasileiro;2,5E+11;PARTIDO ISOLADO;PRTB;N;726;15
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;66370;LENÇÓIS PAULISTA;66370;LENÇÓIS PAULISTA;161;13;Vereador;Partido isolado;28;PRTB;Partido Renovador Trabalhista Brasileiro;2,5E+11;PARTIDO ISOLADO;PRTB;N;332;19
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;72095;UBATUBA;72095;UBATUBA;144;13;Vereador;Partido isolado;36;PTC;Partido Trabalhista Cristão;2,5E+11;PARTIDO ISOLADO;PTC;N;571;3
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;62910;CAMPINAS;62910;CAMPINAS;274;13;Vereador;Partido isolado;40;PSB;Partido Socialista Brasileiro;2,5E+11;PARTIDO ISOLADO;PSB;N;10031;136
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;62294;BIRIGUI;62294;BIRIGUI;25;13;Vereador;Partido isolado;43;PV;Partido Verde;2,5E+11;PARTIDO ISOLADO;PV;N;4898;82
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71072;SÃO PAULO;71072;SÃO PAULO;251;13;Vereador;Partido isolado;45;PSDB;Partido da Social Democracia Brasileira;2,5E+11;PARTIDO ISOLADO;PSDB;N;5621;2684
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;62812;CAIEIRAS;62812;CAIEIRAS;192;13;Vereador;Partido isolado;11;PP;PROGRESSISTAS;2,5E+11;PARTIDO ISOLADO;PP;N;7671;186
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;65455;ITAPECERICA DA SERRA;65455;ITAPECERICA DA SERRA;201;13;Vereador;Partido isolado;11;PP;PROGRESSISTAS;2,5E+11;PARTIDO ISOLADO;PP;N;111;154
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;64750;GUARUJÁ;64750;GUARUJÁ;310;13;Vereador;Partido isolado;11;PP;PROGRESSISTAS;2,5E+11;PARTIDO ISOLADO;PP;N;8448;126
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;69213;PRAIA GRANDE;69213;PRAIA GRANDE;317;13;Vereador;Partido isolado;11;PP;PROGRESSISTAS;2,5E+11;PARTIDO ISOLADO;PP;N;2350;85
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;70998;SÃO JOSÉ DOS CAMPOS;70998;SÃO JOSÉ DOS CAMPOS;411;13;Vereador;Partido isolado;11;PP;PROGRESSISTAS;2,5E+11;PARTIDO ISOLADO;PP;N;1434;105
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71617;TAGUAÍ;71617;TAGUAÍ;234;13;Vereador;Partido isolado;11;PP;PROGRESSISTAS;2,5E+11;PARTIDO ISOLADO;PP;N;352;26
